,,,,,,,,,
id,N° capteur,N° place,PORT,Check Marion,,Check JL,,,
326,326,23-40,LEUCATE,,,,,,
327,327,23-42,LEUCATE,,,,,,
328,328,23-44,LEUCATE,,,,,,
329,329,23-46,LEUCATE,,,,,,
330,330,23-48,LEUCATE,,,,,,
331,331,23-50,LEUCATE,,,,,,
332,332,23-52,LEUCATE,,,,,,
333,333,23-62,LEUCATE,,,,,,
334,334,23-64,LEUCATE,,,,,,
335,335,23-66,LEUCATE,,,,,,
336,336,23-68,LEUCATE,,,,,,
337,337,23-54,LEUCATE,,,,,,
338,338,23-56,LEUCATE,,,,,,
339,339,23-58,LEUCATE,,,,,,
340,340,23-60,LEUCATE,,,,,,
341,341,23-55,LEUCATE,,,,,,
342,342,23-77,LEUCATE,,,,,,
343,343,23-65,LEUCATE,,,,,,
344,344,23-75,LEUCATE,,,,,,
345,345,23-81,LEUCATE,,,,,,
346,346,23-69,LEUCATE,,,,,,
347,347,23-29,LEUCATE,,,,,,
348,348,23-71,LEUCATE,,,,,,
349,349,23-79,LEUCATE,,,,,,
350,350,23-57,LEUCATE,,,,,,
351,351,23-73,LEUCATE,,,,,,
352,353,23-61,LEUCATE,,,,,,
353,354,23-67,LEUCATE,,,,,,
354,355,23-72,LEUCATE,,,,,,
355,356,23-70,LEUCATE,,,,,,
356,357,23-89,LEUCATE,,,,,,
357,358,23-37,LEUCATE,,,,,,
358,358,23-91,LEUCATE,,,,,,
359,359,23-49,LEUCATE,,,,,,
360,360,23-45,LEUCATE,,,,,,
361,360,23-87,LEUCATE,,,,,,
362,362,23-39,LEUCATE,,,,,,
363,363,23-43,LEUCATE,,,,,,
364,364,23-51,LEUCATE,,,,,,
365,365,23-47,LEUCATE,,,,,,
366,366,23-59,LEUCATE,,,,,,
367,367,23-27,LEUCATE,,,,,,
368,368,,,,,,,,
369,369,23-33,LEUCATE,,,,,,
370,370,23-41,LEUCATE,,,,,,
371,371,23-11,LEUCATE,,,,,,
372,372,23-63,LEUCATE,,,,,,
373,373,23-31,LEUCATE,,,,,,
