,,,
,N° capteur,N° place,PORT
366,000366,23-59,LEUCATE
367,000367,23-27,LEUCATE
368,,,
369,000369,23-33,LEUCATE
370,000370,23-41,LEUCATE
371,000371,23-11,LEUCATE
372,000372,23-63,LEUCATE
373,000373,23-31,LEUCATE
374,000374,23-83,LEUCATE
375,000375,23-53,LEUCATE
376,000376,23-25,LEUCATE
377,000377,23-23,LEUCATE
378,000378,23-21,LEUCATE
379,000379,23-19,LEUCATE
380,000380,23-17,LEUCATE
381,000381,23-15,LEUCATE
382,000382,23-13,LEUCATE
383,000383,23-09,LEUCATE
384,000384,23-35,LEUCATE
385,000385,23-07,LEUCATE
386,000386,23-05,LEUCATE
387,000387,23-03,LEUCATE
388,000388,23-01,LEUCATE
389,000389,M-01,LEUCATE
390,,,
391,000391,M-02,LEUCATE
392,000392,M-03,LEUCATE
393,000393,M-04,LEUCATE
394,000394,M-05,LEUCATE
395,000395,M-06,LEUCATE
396,000396,M-07,LEUCATE
397,,,
398,000398,M-08,LEUCATE
399,000399,M-09,LEUCATE
400,000400,23-04,LEUCATE
401,000401,M-10,LEUCATE
402,000402,M-11,LEUCATE
403,000403,M-12,LEUCATE
404,000404,M-13,LEUCATE
405,000405,M-14,LEUCATE
406,000406,M-15,LEUCATE
407,000407,M-16,LEUCATE
408,000408,M-17,LEUCATE
409,000409,M-18,LEUCATE
410,000410,M-19,LEUCATE
411,000411,M-20,LEUCATE
412,000412,M-21,LEUCATE
413,000413,M-22,LEUCATE
414,000414,M-23,LEUCATE
415,000415,M-24,LEUCATE
416,000416,M-25,LEUCATE
417,000417,M-26,LEUCATE
418,000418,M-27,LEUCATE
419,000419,M-28,LEUCATE
420,000420,M-29,LEUCATE
421,000421,M-30,LEUCATE
422,000422,M-31,LEUCATE
423,000423,Stock Leucate,LEUCATE
424,000424,Stock Leucate,LEUCATE
425,000425,Stock Leucate,LEUCATE
426,000426,Stock Leucate,LEUCATE
427,000427,Stock Leucate,LEUCATE
428,000428,Stock Leucate,LEUCATE
429,000429,Stock Leucate,LEUCATE
430,000430,Stock Leucate,LEUCATE
431,000431,Stock Leucate,LEUCATE
432,000432,Stock Leucate,LEUCATE
433,000433,Stock Leucate,LEUCATE
434,000434,Stock Leucate,LEUCATE
435,000435,Stock Leucate,LEUCATE
436,000436,Stock Leucate,LEUCATE
437,000437,Stock Leucate,LEUCATE
438,000438,Stock Leucate,LEUCATE
439,000439,Stock Leucate,LEUCATE
440,000440,Stock Leucate,LEUCATE
441,000441,Stock Leucate,LEUCATE
442,000442,Stock Leucate,LEUCATE
443,000443,23-85,LEUCATE
444,000444,Stock Leucate,LEUCATE
445,,,
446,000446,Stock Leucate,LEUCATE
447,000447,Stock Leucate,LEUCATE
448,000448,Stock Leucate,LEUCATE
449,000449,Stock Leucate,LEUCATE
450,000450,Stock Leucate,LEUCATE
451,000451,Stock Leucate,LEUCATE
452,000452,Stock Leucate,LEUCATE
453,000453,Stock Leucate,LEUCATE
454,000454,Stock Leucate,LEUCATE
455,000455,Stock Leucate,LEUCATE
456,000456,Stock Leucate,LEUCATE
457,000457,Stock Leucate,LEUCATE
458,000458,Stock Leucate,LEUCATE
459,000459,Stock Leucate,LEUCATE
460,,,
461,000461,Stock Leucate,LEUCATE
462,000462,Stock Leucate,LEUCATE
463,000463,Stock Leucate,LEUCATE
464,000464,Stock Leucate,LEUCATE
465,000465,Stock Leucate,LEUCATE
466,000466,Stock Leucate,LEUCATE
467,000467,Stock Leucate,LEUCATE
468,000468,Stock Leucate,LEUCATE
469,000469,Stock Leucate,LEUCATE
470,000470,Stock Leucate,LEUCATE
471,000471,Stock Leucate,LEUCATE
472,000472,Stock Leucate,LEUCATE
473,000473,Stock Leucate,LEUCATE
474,000474,Stock Leucate,LEUCATE
475,000475,Stock Leucate,LEUCATE
476,000476,Stock Leucate,LEUCATE
477,000477,Stock Leucate,LEUCATE
478,,,
479,000479,Stock Leucate,LEUCATE
480,000480,Stock Leucate,LEUCATE
481,,,
482,,,
483,,,
484,,,
485,,,LA GRANDE MOTTE
486,,,LA GRANDE MOTTE
487,,,LA GRANDE MOTTE
488,,,LA GRANDE MOTTE
489,,,LA GRANDE MOTTE
490,,,LA GRANDE MOTTE
491,,,LA GRANDE MOTTE
492,,,LA GRANDE MOTTE
493,,,
494,,,
495,,,LA GRANDE MOTTE
496,,,LA GRANDE MOTTE
497,,,LA GRANDE MOTTE
498,,,LA GRANDE MOTTE
499,,,LA GRANDE MOTTE
500,000500,Stock Leucate,LEUCATE
501,000501,Stock Leucate,LEUCATE
502,000502,Stock Leucate,LEUCATE
503,000503,Stock Leucate,LEUCATE
504,000504,Stock Leucate,LEUCATE
505,,,
506,,,LA GRANDE MOTTE
507,,,LA GRANDE MOTTE
508,,,LA GRANDE MOTTE
509,000509,Stock Leucate,LEUCATE
510,,,LA GRANDE MOTTE
511,,,LA GRANDE MOTTE
512,000512,Stock Leucate,LEUCATE
513,000513,Stock Leucate,LEUCATE
514,000514,Stock Leucate,LEUCATE
515,000515,Stock Leucate,LEUCATE
516,000516,Stock Leucate,LEUCATE
517,,,LA GRANDE MOTTE
518,,,LA GRANDE MOTTE
519,,,LA GRANDE MOTTE
520,,,LA GRANDE MOTTE
521,000521,Stock Leucate,LEUCATE
522,,,LA GRANDE MOTTE
523,000523,Stock Leucate,LEUCATE
524,000524,Stock Leucate,LEUCATE
525,000525,M-32,LEUCATE
